Username,B,F,S,U,task
5f05e24314e7c90bb6b43cc8,3507,2966.425,3305.8,3526.05,jol
w10057323_amw,3806,3422.45,4764.85,4590.975,jol
W975110_JEM,7021.575,4244.325,5284.575,7300.3,jol
55b3120cfdf99b6ef6263a71,1817.2,1790.7,1680.9,1940.25,No-JOL
57faccc03073510001230cfc,2810.825,2935.925,3286.95,2947.35,No-JOL
5bf05b057c38740001699f35,9846.125,7825.575,8397.1,9910.35,No-JOL
5c4e38f4d3a5e300018363ba,2189.7,2259.6,2169.4,2626.725,No-JOL
5c608eae6539fe00016e2b0a,1150.6,1318.35,1282.275,1010.075,No-JOL
5c6ffc93a1eb36000146d09f,1096.65,1095.85,1317.15,1950.875,No-JOL
5cab268b0c938300164b5d07,3714.825,3599,3550.275,5119.875,No-JOL
5ce2eaf7a74ff200195bf799,2446.175,2451.525,2434,2851.5,No-JOL
5cf5e1d2dbfc900001f253c5,2137.175,2141.95,1965.825,3010.05,No-JOL
5d08b2a59b19d00018ad93d4,903.35,977.85,1138.45,848.6,No-JOL
5d12803df8388b00193c69cb,717.025,713.725,742.75,711.45,No-JOL
5d4551340196ac0001b914a5,2944.025,2870.675,3032.925,3681.35,No-JOL
5d559b344171570017abe563,3312.675,4003.475,3416.475,4481.2,No-JOL
5d5ac177d5610d001ad9c24c,821.6,775.225,796.85,912.45,No-JOL
5da869d41f6136001464cee9,1465.375,2172.525,1355.2,1629.175,No-JOL
5e176d9b3654c20746564542,673.3,808.675,797.95,677.375,No-JOL
5e3ebad5ae9bd910f8a6eb21,1779.825,1853.05,1253.1,1594.5,No-JOL
5e540b9b25baaf40438073bb,4802.85,4609.625,4268.525,5889.575,No-JOL
5e6c11183556f0000af780b7,2271.675,2273.9,1763.475,2928.2,No-JOL
5e6cdd414ecdc62853e75759,1233.425,282.25,302.95,247.075,No-JOL
5e71491d6eddf7000b6887d9,1099.075,1156.85,992.85,1583.2,No-JOL
5e72cb7f4fabc9222100f9b8,1484.25,1744.275,1531.825,2399.4,No-JOL
5e81eabc6db6e88e6b519e67,849.6,573.35,596.275,848.825,No-JOL
5e8209ae9c77a701e51fd83b,1778.3,2376.275,2130.675,2226.2,No-JOL
5e8f7b9103ad03270d48587f,785.1,769.05,949.425,932.05,No-JOL
5eaad3ea17b8c30411098ec4,3964.2,4657.625,3338.225,4646.85,No-JOL
5eab00d45a85f509b69b78c2,3852.55,3659.2,3461,4106.35,No-JOL
5eb2302ce5aa1f381ff740f4,2605.95,2337.125,2452.05,2502.325,No-JOL
5eb6d6c86b2e3c071bdd963e,1354.3,1709.575,1774.9,1305.125,No-JOL
5ebdf88d3af71c13b51846fd,2005.025,2150.175,1807.4,2414.875,No-JOL
5ec530f7aa5afd49a06b00a2,2050.1,2370.475,2089.15,3386.85,No-JOL
5ece8aec61cfc90a2216bf22,1576.875,1621.8,1976.175,2413.1,No-JOL
5ecff40f77254608ec9fb30e,3898.55,3337.875,3055.725,3795.675,No-JOL
5ed5706db2c5c10edf6ed2b8,1586.825,1570.425,1761.4,2399.25,No-JOL
5ed64879a7771804bd1f974e,2556.575,2311.975,3122.625,4149.725,No-JOL
5eedf5e043cc1623f44baf6e,1011.175,859.675,1056.95,936.25,No-JOL
5efcdcd174e5620dcc1d6bda,1381.7,1297.25,1212.175,1358.1,No-JOL
Higgledypiggeldywiggledys,1459.6,1142.025,1130.95,1035.575,No-JOL
w200291kb,1314.475,1483.475,1449.875,1491.375,No-JOL
w938419_LG,757.025,1002.075,637.45,737.675,No-JOL
