"Trial.ID","Sub.ID","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Study.RT","Response.RT.1","Responses","Response.Accuracy","Answer","Scored"
7,"w980000_lf",1,"Read Version A","BATHROOM","toilet","Study1","S",3468,8443,"sink",20,"toilet",0
7,"w10076541_mim",1,"Read Version A","BATHROOM","toilet","Study1","S",133,3103,"",0,"toilet",0
7,"w10067789_JT",1,"Read Version A","BATHROOM","toilet","Study1","S",2017,2612,"",0,"toilet",0
7,"5d0a90bb7c5110001acaa336",1,"Read Version A","BATHROOM","toilet","Study1","S",2327,2395,"toilet",100,"toilet",1
7,"5f26ad14db44f940a40c86dd",1,"Read Version A","BATHROOM","toilet","Study1","S",1714,4854,"toilet",100,"toilet",1
7,"w10030757JP",1,"Read Version A","BATHROOM","toilet","Study1","S",965,2114,"toilet",100,"toilet",1
7,"w10022439_mlr",1,"Read Version A","BATHROOM","toilet","Study1","S",1299,1258,"",0,"toilet",0
8,"w10096966",1,"Read Version A","BEGIN","end","Study1","S",1716,4096,"end",100,"end",1
8,"10097621LS",1,"Read Version A","BEGIN","end","Study1","S",1515,59454,"end",100,"end",1
8,"w980000_lf",1,"Read Version A","BEGIN","end","Study1","S",1669,2549,"end",100,"end",1
8,"w10030757JP",1,"Read Version A","BEGIN","end","Study1","S",1345,1217,"end",100,"end",1
8,"W10106164HPR",1,"Read Version A","BEGIN","end","Study1","S",1163,3338,"end",100,"end",1
8,"5d0a90bb7c5110001acaa336",1,"Read Version A","BEGIN","end","Study1","S",2079,1588,"end",100,"end",1
8,"5f26ad14db44f940a40c86dd",1,"Read Version A","BEGIN","end","Study1","S",2821,44594,"end",100,"end",1
8,"w10067789_JT",1,"Read Version A","BEGIN","end","Study1","S",1529,1876,"end",100,"end",1
8,"w10022439_mlr",1,"Read Version A","BEGIN","end","Study1","S",1323,1612,"end",100,"end",1
8,"w10076541_mim",1,"Read Version A","BEGIN","end","Study1","S",1954,3665,"end",100,"end",1
9,"w10030757JP",1,"Read Version A","BITTER","cold","Study1","F",906,1617,"sour",25,"cold",0
9,"10097621LS",1,"Read Version A","BITTER","cold","Study1","F",1084,3330,"sweet",0,"cold",0
9,"5f26ad14db44f940a40c86dd",1,"Read Version A","BITTER","cold","Study1","F",6926,22347,"",0,"cold",0
9,"w10067789_JT",1,"Read Version A","BITTER","cold","Study1","F",1495,2010,"",0,"cold",0
9,"W10106164HPR",1,"Read Version A","BITTER","cold","Study1","F",893,4619,"sweet",0,"cold",0
9,"w10022439_mlr",1,"Read Version A","BITTER","cold","Study1","F",1463,2059,"",0,"cold",0
9,"w10076541_mim",1,"Read Version A","BITTER","cold","Study1","F",1183,3087,"",0,"cold",0
9,"5d0a90bb7c5110001acaa336",1,"Read Version A","BITTER","cold","Study1","F",2156,2016,"sweet",0,"cold",0
9,"w10096966",1,"Read Version A","BITTER","cold","Study1","F",1608,3785,"cold",100,"cold",1
9,"w980000_lf",1,"Read Version A","BITTER","cold","Study1","F",4844,2804,"cold",100,"cold",1
10,"5d0a90bb7c5110001acaa336",1,"Read Version A","BLOW","wind","Study1","S",2412,6810,"",0,"wind",0
10,"w10022439_mlr",1,"Read Version A","BLOW","wind","Study1","S",950,840,"",0,"wind",0
10,"5f26ad14db44f940a40c86dd",1,"Read Version A","BLOW","wind","Study1","S",6729,7864,"wind",100,"wind",1
10,"10097621LS",1,"Read Version A","BLOW","wind","Study1","S",1188,9606,"wind",100,"wind",1
10,"w10096966",1,"Read Version A","BLOW","wind","Study1","S",1098,1306,"",0,"wind",0
10,"w10030757JP",1,"Read Version A","BLOW","wind","Study1","S",723,1423,"",0,"wind",0
10,"w10076541_mim",1,"Read Version A","BLOW","wind","Study1","S",378,1686,"",0,"wind",0
10,"w980000_lf",1,"Read Version A","BLOW","wind","Study1","S",4812,4437,"fish",25,"wind",0
10,"W10106164HPR",1,"Read Version A","BLOW","wind","Study1","S",1064,2575,"wind",100,"wind",1
10,"w10067789_JT",1,"Read Version A","BLOW","wind","Study1","S",1486,1420,"",0,"wind",0
11,"w10030757JP",1,"Read Version A","BRIDGE","water","Study1","F",1193,1861,"",0,"water",0
11,"5f26ad14db44f940a40c86dd",1,"Read Version A","BRIDGE","water","Study1","F",3271,4370,"water",100,"water",1
11,"W10106164HPR",1,"Read Version A","BRIDGE","water","Study1","F",1009,2780,"water",100,"water",1
11,"10097621LS",1,"Read Version A","BRIDGE","water","Study1","F",940,6368,"cross",20,"water",0
11,"w10022439_mlr",1,"Read Version A","BRIDGE","water","Study1","F",1087,3834,"water",100,"water",1
11,"w10076541_mim",1,"Read Version A","BRIDGE","water","Study1","F",1035,7357,"link",0,"water",0
11,"w10096966",1,"Read Version A","BRIDGE","water","Study1","F",1490,4260,"",0,"water",0
11,"5d0a90bb7c5110001acaa336",1,"Read Version A","BRIDGE","water","Study1","F",2530,2279,"water",100,"water",1
11,"w10067789_JT",1,"Read Version A","BRIDGE","water","Study1","F",1789,1855,"",0,"water",0
11,"w980000_lf",1,"Read Version A","BRIDGE","water","Study1","F",2900,2735,"water",100,"water",1
12,"5d0a90bb7c5110001acaa336",1,"Read Version A","BUG","wasp","Study1","B",2915,2424,"wasp",100,"wasp",1
12,"5f26ad14db44f940a40c86dd",1,"Read Version A","BUG","wasp","Study1","B",1689,11493,"bees",25,"wasp",0
12,"10097621LS",1,"Read Version A","BUG","wasp","Study1","B",968,8802,"wasp",100,"wasp",1
12,"w10022439_mlr",1,"Read Version A","BUG","wasp","Study1","B",4127,737,"",0,"wasp",0
12,"w10030757JP",1,"Read Version A","BUG","wasp","Study1","B",1097,2503,"",0,"wasp",0
12,"w10076541_mim",1,"Read Version A","BUG","wasp","Study1","B",984,5356,"wasp",100,"wasp",1
12,"w980000_lf",1,"Read Version A","BUG","wasp","Study1","B",1462,10495,"wasp",100,"wasp",1
12,"W10106164HPR",1,"Read Version A","BUG","wasp","Study1","B",932,8824,"insect ",20,"wasp",0
12,"w10067789_JT",1,"Read Version A","BUG","wasp","Study1","B",1645,5849,"wasp",100,"wasp",1
12,"w10096966",1,"Read Version A","BUG","wasp","Study1","B",1165,18813,"",0,"wasp",0
13,"5f26ad14db44f940a40c86dd",1,"Read Version A","CASH","would","Study1","U",2279,21964,"money",20,"would",0
13,"w10030757JP",1,"Read Version A","CASH","would","Study1","U",705,2993,"card",22.222222222222,"would",0
13,"10097621LS",1,"Read Version A","CASH","would","Study1","U",1131,2161,"money",20,"would",0
13,"w10022439_mlr",1,"Read Version A","CASH","would","Study1","U",920,1426,"",0,"would",0
13,"w10076541_mim",1,"Read Version A","CASH","would","Study1","U",846,2056,"",0,"would",0
13,"W10106164HPR",1,"Read Version A","CASH","would","Study1","U",943,3502,"value",20,"would",0
13,"5d0a90bb7c5110001acaa336",1,"Read Version A","CASH","would","Study1","U",3063,4262,"would",100,"would",1
13,"w10067789_JT",1,"Read Version A","CASH","would","Study1","U",4468,6529,"",0,"would",0
13,"w10096966",1,"Read Version A","CASH","would","Study1","U",3981,6690,"money",20,"would",0
13,"w980000_lf",1,"Read Version A","CASH","would","Study1","U",1286,4353,"money",20,"would",0
14,"5f26ad14db44f940a40c86dd",1,"Read Version A","CHISEL","hammer","Study1","F",9318,5906,"hammer",100,"hammer",1
14,"w10076541_mim",1,"Read Version A","CHISEL","hammer","Study1","F",1013,6001,"break",18.181818181818,"hammer",0
14,"5d0a90bb7c5110001acaa336",1,"Read Version A","CHISEL","hammer","Study1","F",1762,4025,"statue",33.333333333333,"hammer",0
14,"w10030757JP",1,"Read Version A","CHISEL","hammer","Study1","F",1569,3102,"",0,"hammer",0
14,"W10106164HPR",1,"Read Version A","CHISEL","hammer","Study1","F",2066,29412,"cycle",18.181818181818,"hammer",0
14,"10097621LS",1,"Read Version A","CHISEL","hammer","Study1","F",1029,8508,"hammer",100,"hammer",1
14,"w10022439_mlr",1,"Read Version A","CHISEL","hammer","Study1","F",879,2427,"",0,"hammer",0
14,"w10067789_JT",1,"Read Version A","CHISEL","hammer","Study1","F",1829,2554,"hammer",100,"hammer",1
14,"w980000_lf",1,"Read Version A","CHISEL","hammer","Study1","F",2001,3051,"hammer",100,"hammer",1
14,"w10096966",1,"Read Version A","CHISEL","hammer","Study1","F",1204,1559,"",0,"hammer",0
15,"5d0a90bb7c5110001acaa336",1,"Read Version A","CIRCLE","round","Study1","S",1140,2110,"round",100,"round",1
15,"W10106164HPR",1,"Read Version A","CIRCLE","round","Study1","S",1452,11879,"square",18.181818181818,"round",0
15,"w10022439_mlr",1,"Read Version A","CIRCLE","round","Study1","S",1808,2184,"round",100,"round",1
15,"5f26ad14db44f940a40c86dd",1,"Read Version A","CIRCLE","round","Study1","S",6347,7822,"round",100,"round",1
15,"10097621LS",1,"Read Version A","CIRCLE","round","Study1","S",1008,22316,"round",100,"round",1
15,"w10067789_JT",1,"Read Version A","CIRCLE","round","Study1","S",2014,2524,"round",100,"round",1
15,"w10030757JP",1,"Read Version A","CIRCLE","round","Study1","S",867,1844,"round",100,"round",1
15,"w980000_lf",1,"Read Version A","CIRCLE","round","Study1","S",3091,3346,"shape",0,"round",0
15,"w10076541_mim",1,"Read Version A","CIRCLE","round","Study1","S",5985,1004,"",0,"round",0
15,"w10096966",1,"Read Version A","CIRCLE","round","Study1","S",1271,1116,"",0,"round",0
16,"5d0a90bb7c5110001acaa336",1,"Read Version A","CLOTHES","attire","Study1","B",2270,5168,"wear",20,"attire",0
16,"w10022439_mlr",1,"Read Version A","CLOTHES","attire","Study1","B",1409,2253,"attire",100,"attire",1
16,"w980000_lf",1,"Read Version A","CLOTHES","attire","Study1","B",1536,5453,"shirt",36.363636363636,"attire",0
16,"w10067789_JT",1,"Read Version A","CLOTHES","attire","Study1","B",1886,3873,"attire",100,"attire",1
16,"5f26ad14db44f940a40c86dd",1,"Read Version A","CLOTHES","attire","Study1","B",19601,16027,"attire",100,"attire",1
16,"w10096966",1,"Read Version A","CLOTHES","attire","Study1","B",1159,2335,"",0,"attire",0
16,"w10030757JP",1,"Read Version A","CLOTHES","attire","Study1","B",1447,2383,"attire",100,"attire",1
16,"10097621LS",1,"Read Version A","CLOTHES","attire","Study1","B",1222,16370,"attire",100,"attire",1
16,"w10076541_mim",1,"Read Version A","CLOTHES","attire","Study1","B",645,9439,"cover",18.181818181818,"attire",0
16,"W10106164HPR",1,"Read Version A","CLOTHES","attire","Study1","B",1139,5886,"body",0,"attire",0
17,"5f26ad14db44f940a40c86dd",1,"Read Version A","CREDIT","card","Study1","F",2328,11129,"card",100,"card",1
17,"w10022439_mlr",1,"Read Version A","CREDIT","card","Study1","F",908,1783,"card",100,"card",1
17,"10097621LS",1,"Read Version A","CREDIT","card","Study1","F",1096,53388,"card",100,"card",1
17,"w10067789_JT",1,"Read Version A","CREDIT","card","Study1","F",2176,2452,"card",100,"card",1
17,"w10030757JP",1,"Read Version A","CREDIT","card","Study1","F",1024,1692,"card",100,"card",1
17,"w980000_lf",1,"Read Version A","CREDIT","card","Study1","F",2716,7445,"money",0,"card",0
17,"w10096966",1,"Read Version A","CREDIT","card","Study1","F",4127,2875,"card",100,"card",1
17,"w10076541_mim",1,"Read Version A","CREDIT","card","Study1","F",739,4475,"card",100,"card",1
17,"5d0a90bb7c5110001acaa336",1,"Read Version A","CREDIT","card","Study1","F",1716,1783,"card",100,"card",1
17,"W10106164HPR",1,"Read Version A","CREDIT","card","Study1","F",954,1907,"card",100,"card",1
18,"5f26ad14db44f940a40c86dd",1,"Read Version A","DARK","cave","Study1","B",6311,16077,"cave",100,"cave",1
18,"10097621LS",1,"Read Version A","DARK","cave","Study1","B",965,2185,"light",0,"cave",0
18,"w10030757JP",1,"Read Version A","DARK","cave","Study1","B",1350,3732,"light",0,"cave",0
18,"w10076541_mim",1,"Read Version A","DARK","cave","Study1","B",756,5025,"night",0,"cave",0
18,"w980000_lf",1,"Read Version A","DARK","cave","Study1","B",2482,5953,"night",0,"cave",0
18,"5d0a90bb7c5110001acaa336",1,"Read Version A","DARK","cave","Study1","B",3229,2024,"cave",100,"cave",1
18,"w10067789_JT",1,"Read Version A","DARK","cave","Study1","B",2067,2837,"cave",100,"cave",1
18,"W10106164HPR",1,"Read Version A","DARK","cave","Study1","B",886,7687,"light",0,"cave",0
18,"w10022439_mlr",1,"Read Version A","DARK","cave","Study1","B",1177,879,"",0,"cave",0
18,"w10096966",1,"Read Version A","DARK","cave","Study1","B",1174,3223,"",0,"cave",0
19,"5f26ad14db44f940a40c86dd",1,"Read Version A","DEATH","business","Study1","U",22192,22529,"end",18.181818181818,"business",0
19,"5d0a90bb7c5110001acaa336",1,"Read Version A","DEATH","business","Study1","U",2913,2993,"business",100,"business",1
19,"w10030757JP",1,"Read Version A","DEATH","business","Study1","U",1166,1251,"",0,"business",0
19,"W10106164HPR",1,"Read Version A","DEATH","business","Study1","U",1125,4014,"buisness",87.5,"business",1
19,"10097621LS",1,"Read Version A","DEATH","business","Study1","U",1118,43809,"business",100,"business",1
19,"w10022439_mlr",1,"Read Version A","DEATH","business","Study1","U",2200,1031,"",0,"business",0
19,"w10076541_mim",1,"Read Version A","DEATH","business","Study1","U",730,16189,"coffin",28.571428571429,"business",0
19,"w980000_lf",1,"Read Version A","DEATH","business","Study1","U",2170,13970,"",0,"business",0
19,"w10067789_JT",1,"Read Version A","DEATH","business","Study1","U",3849,6923,"business",100,"business",1
19,"w10096966",1,"Read Version A","DEATH","business","Study1","U",1050,8028,"",0,"business",0
20,"5f26ad14db44f940a40c86dd",1,"Read Version A","DEBATE","sight","Study1","U",3180,3819,"",0,"sight",0
20,"w10022439_mlr",1,"Read Version A","DEBATE","sight","Study1","U",1738,891,"",0,"sight",0
20,"w10030757JP",1,"Read Version A","DEBATE","sight","Study1","U",1630,3198,"team",22.222222222222,"sight",0
20,"10097621LS",1,"Read Version A","DEBATE","sight","Study1","U",1112,30143,"sight",100,"sight",1
20,"5d0a90bb7c5110001acaa336",1,"Read Version A","DEBATE","sight","Study1","U",3202,3064,"",0,"sight",0
20,"w10067789_JT",1,"Read Version A","DEBATE","sight","Study1","U",6367,4938,"",0,"sight",0
20,"w10076541_mim",1,"Read Version A","DEBATE","sight","Study1","U",1327,3272,"",0,"sight",0
20,"w980000_lf",1,"Read Version A","DEBATE","sight","Study1","U",3762,22604,"sight",100,"sight",1
20,"w10096966",1,"Read Version A","DEBATE","sight","Study1","U",1373,1695,"",0,"sight",0
20,"W10106164HPR",1,"Read Version A","DEBATE","sight","Study1","U",1143,10511,"discuse",16.666666666667,"sight",0
21,"10097621LS",1,"Read Version A","DELINQUENT","bad","Study1","F",1237,42089,"bad",100,"bad",1
21,"w10030757JP",1,"Read Version A","DELINQUENT","bad","Study1","F",1782,2042,"bad",100,"bad",1
21,"w10076541_mim",1,"Read Version A","DELINQUENT","bad","Study1","F",705,7636,"crime",0,"bad",0
21,"5d0a90bb7c5110001acaa336",1,"Read Version A","DELINQUENT","bad","Study1","F",2862,1471,"bad",100,"bad",1
21,"5f26ad14db44f940a40c86dd",1,"Read Version A","DELINQUENT","bad","Study1","F",25272,3782,"bad",100,"bad",1
21,"w10067789_JT",1,"Read Version A","DELINQUENT","bad","Study1","F",2333,2013,"bad",100,"bad",1
21,"W10106164HPR",1,"Read Version A","DELINQUENT","bad","Study1","F",1377,3131,"bad",100,"bad",1
21,"w980000_lf",1,"Read Version A","DELINQUENT","bad","Study1","F",1726,3575,"bad",100,"bad",1
21,"w10022439_mlr",1,"Read Version A","DELINQUENT","bad","Study1","F",935,1483,"",0,"bad",0
21,"w10096966",1,"Read Version A","DELINQUENT","bad","Study1","F",2898,6817,"",0,"bad",0
22,"5f26ad14db44f940a40c86dd",1,"Read Version A","DIETARY","sacking","Study1","U",35120,25454,"food",0,"sacking",0
22,"w10076541_mim",1,"Read Version A","DIETARY","sacking","Study1","U",660,5034,"",0,"sacking",0
22,"10097621LS",1,"Read Version A","DIETARY","sacking","Study1","U",1266,24870,"saking",92.307692307692,"sacking",1
22,"5d0a90bb7c5110001acaa336",1,"Read Version A","DIETARY","sacking","Study1","U",8579,19542,"",0,"sacking",0
22,"w10030757JP",1,"Read Version A","DIETARY","sacking","Study1","U",1263,1564,"food",0,"sacking",0
22,"w10096966",1,"Read Version A","DIETARY","sacking","Study1","U",10163,1865,"",0,"sacking",0
22,"W10106164HPR",1,"Read Version A","DIETARY","sacking","Study1","U",1402,7599,"woman",33.333333333333,"sacking",0
22,"w10022439_mlr",1,"Read Version A","DIETARY","sacking","Study1","U",3811,6029,"snacking",93.333333333333,"sacking",1
22,"w10067789_JT",1,"Read Version A","DIETARY","sacking","Study1","U",6065,5423,"",0,"sacking",0
22,"w980000_lf",1,"Read Version A","DIETARY","sacking","Study1","U",3592,2843,"food",0,"sacking",0
23,"5d0a90bb7c5110001acaa336",1,"Read Version A","DIGESTION","stomach","Study1","F",2205,12181,"stomach",100,"stomach",1
23,"5f26ad14db44f940a40c86dd",1,"Read Version A","DIGESTION","stomach","Study1","F",1921,6765,"stomach",100,"stomach",1
23,"10097621LS",1,"Read Version A","DIGESTION","stomach","Study1","F",1187,9245,"stomach ",100,"stomach",1
23,"w10022439_mlr",1,"Read Version A","DIGESTION","stomach","Study1","F",1189,3651,"immune",15.384615384615,"stomach",0
23,"w10030757JP",1,"Read Version A","DIGESTION","stomach","Study1","F",2316,3538,"stomach",100,"stomach",1
23,"W10106164HPR",1,"Read Version A","DIGESTION","stomach","Study1","F",2825,5527,"stomach ",100,"stomach",1
23,"w980000_lf",1,"Read Version A","DIGESTION","stomach","Study1","F",2140,3630,"food",18.181818181818,"stomach",0
23,"w10067789_JT",1,"Read Version A","DIGESTION","stomach","Study1","F",2155,5259,"stomach",100,"stomach",1
23,"w10076541_mim",1,"Read Version A","DIGESTION","stomach","Study1","F",1958,9399,"stomach",100,"stomach",1
23,"w10096966",1,"Read Version A","DIGESTION","stomach","Study1","F",2480,1220,"",0,"stomach",0
24,"5d0a90bb7c5110001acaa336",1,"Read Version A","DISCOVER","floor","Study1","U",1640,2002,"find",22.222222222222,"floor",0
24,"5f26ad14db44f940a40c86dd",1,"Read Version A","DISCOVER","floor","Study1","U",13284,11518,"",0,"floor",0
24,"w980000_lf",1,"Read Version A","DISCOVER","floor","Study1","U",2529,3850,"find",22.222222222222,"floor",0
24,"w10022439_mlr",1,"Read Version A","DISCOVER","floor","Study1","U",989,2484,"",0,"floor",0
24,"w10030757JP",1,"Read Version A","DISCOVER","floor","Study1","U",1743,1684,"find",22.222222222222,"floor",0
24,"10097621LS",1,"Read Version A","DISCOVER","floor","Study1","U",1098,58037,"floor",100,"floor",1
24,"w10067789_JT",1,"Read Version A","DISCOVER","floor","Study1","U",2000,2409,"find",22.222222222222,"floor",0
24,"w10076541_mim",1,"Read Version A","DISCOVER","floor","Study1","U",2148,5169,"seek",0,"floor",0
24,"w10096966",1,"Read Version A","DISCOVER","floor","Study1","U",1899,991,"",0,"floor",0
24,"W10106164HPR",1,"Read Version A","DISCOVER","floor","Study1","U",1099,3953,"search",18.181818181818,"floor",0
25,"5d0a90bb7c5110001acaa336",1,"Read Version A","DISCUSSION","talk","Study1","F",3338,2531,"talk",100,"talk",1
25,"w10022439_mlr",1,"Read Version A","DISCUSSION","talk","Study1","F",1861,1547,"",0,"talk",0
25,"5f26ad14db44f940a40c86dd",1,"Read Version A","DISCUSSION","talk","Study1","F",7663,15734,"talk",100,"talk",1
25,"w10067789_JT",1,"Read Version A","DISCUSSION","talk","Study1","F",1482,5244,"question",16.666666666667,"talk",0
25,"w10030757JP",1,"Read Version A","DISCUSSION","talk","Study1","F",993,1783,"",0,"talk",0
25,"w980000_lf",1,"Read Version A","DISCUSSION","talk","Study1","F",3482,2574,"talk",100,"talk",1
25,"10097621LS",1,"Read Version A","DISCUSSION","talk","Study1","F",1087,43669,"talk",100,"talk",1
25,"w10096966",1,"Read Version A","DISCUSSION","talk","Study1","F",1847,990,"",0,"talk",0
25,"w10076541_mim",1,"Read Version A","DISCUSSION","talk","Study1","F",1303,3301,"",0,"talk",0
25,"W10106164HPR",1,"Read Version A","DISCUSSION","talk","Study1","F",1306,3737,"make",50,"talk",0
26,"5f26ad14db44f940a40c86dd",1,"Read Version A","DRINK","sip","Study1","B",9407,10588,"sip",100,"sip",1
26,"w10030757JP",1,"Read Version A","DRINK","sip","Study1","B",1043,1735,"",0,"sip",0
26,"10097621LS",1,"Read Version A","DRINK","sip","Study1","B",990,42400,"sip",100,"sip",1
26,"w10022439_mlr",1,"Read Version A","DRINK","sip","Study1","B",1517,1590,"",0,"sip",0
26,"w10076541_mim",1,"Read Version A","DRINK","sip","Study1","B",3176,8338,"eat",0,"sip",0
