Username,Direction,Task,Score,,Average of Score,Column Labels,,,,,,,,,,,,
w218847JDM,S,JOL,50,,w10048478_tn,25.775,31.1,28.65,18.7,26.05625,15,52.5,45,2.5,28.75,,,27.403125
w922820,S,JOL,35,,w10049707_slh,76,75.875,83.71794872,7.375,60.59748428,47.5,62.5,58.97435897,7.5,44.02515723,,,52.31132075
W970517,S,JOL,100,,w1005029AW,67.79487179,56.8974359,72.25,3,49.82911392,33.33333333,71.79487179,45,2.5,37.97468354,,,43.90189873
w10010080YS,U,JOL,3,,w10050959_cpc,65.7,75.625,82.375,6.325,57.50625,5,42.5,35,2.5,21.25,,,39.378125
w10024584,U,JOL,0,,w10052270,71.45,80.95,67.525,55.46153846,68.93081761,37.5,95,60,53.84615385,61.63522013,,,65.28301887
w10033288,U,JOL,10,,w10056204,61.1025641,70.175,69.9,14.15,53.78616352,38.46153846,82.5,75,10,51.57232704,,,52.67924528
w10042962_jkc,U,JOL,5,,w10058392_JA,60.275,64.125,59.9,39.9,56.05,50,67.5,52.5,70,60,,,58.025
w10048478_tn,U,JOL,89,,w10061353,69.75,76.75,80.75,23.25,62.625,72.5,95,90,40,74.375,,,68.5
w10049707_slh,U,JOL,10,,w10061432,70.95,57.425,68.9,2.075,49.8375,12.5,52.5,42.5,2.5,27.5,,,38.66875
w10061353,U,JOL,20,,w10064189_cfnd,38.125,46.625,52,8,36.1875,47.5,80,80,30,59.375,,,47.78125
w10061432,U,JOL,5,,w218847JDM,59.925,64.5,62.9,34.175,55.375,20,75,60,0,38.75,,,47.0625
w218847JDM,U,JOL,30,,w505802,68.46153846,86.25,87.875,5.128205128,62.24683544,46.15384615,85,85,23.07692308,60.12658228,,,61.18670886
w922820,U,JOL,15,,w922239,43.925,57.35,69.325,8.875,44.86875,25,57.5,47.5,12.5,35.625,,,40.246875
W970517,U,JOL,25,,w922820,60.65,69.35,75.95,15.1,55.2625,25,87.5,62.5,10,46.25,,,50.75625
w10010080YS,U,JOL,0,,w945925,69.375,80.75,87.875,13.625,62.90625,40,65,75,5,46.25,,,54.578125
w10024584,U,JOL,0,,w961986_ARR,72.575,75.55,80.975,12.725,60.45625,42.5,87.5,75,15,55,,,57.728125
w10033288,U,JOL,10,,w966692,68,61,82,18.275,57.31875,7.5,42.5,42.5,0,23.125,,,40.221875
w10042962_jkc,U,JOL,2,,W970517,79.525,82.5,87.55,10.5,65.01875,30,60,67.5,7.5,41.25,,,53.134375
w10048478_tn,U,JOL,32,,w985827,59.625,57.75,59.25,41.875,54.625,20,62.5,60,12.5,38.75,,,46.6875
w10049707_slh,U,JOL,0,,w993605,66.1,75.675,77.225,10.625,57.40625,47.5,95,80,12.5,58.75,,,58.078125
w10061353,U,JOL,0,,w997137,40.375,45.375,56.25,5.25,36.8125,35,90,77.5,20,55.625,,,46.21875
w10061432,U,JOL,0,,w999292,51,50.75,54.25,35.5,47.875,7.5,50,12.5,2.5,18.125,,,33
w218847JDM,U,JOL,30,,(blank),,,,,,,,,,,,,
w922820,U,JOL,0,,Grand Total,58.77392421,63.15596919,67.74935733,15.78291586,51.36480411,33.71868979,71.95121951,61.63239075,15.41425819,45.6807964,,,48.52280026
W970517,U,JOL,0,,,,,,,,,,,,,,,
w10010080YS,S,JOL,55,,MEAN,58.77392421,63.15596919,67.74935733,15.78291586,,33.71868979,71.95121951,61.63239075,15.41425819,,,,
w10024584,S,JOL,100,,SD,15.87886187,15.24260871,16.07530111,13.09271309,,18.76619381,16.37750505,19.37324524,18.83943282,,,,
w10033288,S,JOL,60,,SE,2.542652836,2.440770792,2.574108289,2.096511975,,3.004995969,2.622499647,3.102201994,3.016723595,,,,
w10042962_jkc,S,JOL,70,,95 CI,4.983599558,4.783910752,5.045252246,4.109163471,,5.889792098,5.140099309,6.080315908,5.912778247,,,,
w10048478_tn,S,JOL,70,,UPPER,63.75752377,67.93987994,72.79460957,19.89207933,,39.60848189,77.09131882,67.71270665,21.32703644,,,,
w10049707_slh,S,JOL,100,,LOWER,53.79032466,58.37205844,62.70410508,11.67375239,,27.82889769,66.8111202,55.55207484,9.501479942,,,,
w10061353,S,JOL,70,,,,,,,,,,,,,,,
w10061432,S,JOL,100,,,,,,,,,,,,,,,
w218847JDM,S,JOL,70,,,,,,,,,,,,,,,
w922820,S,JOL,75,,,,,,,,,,,,,,,
W970517,S,JOL,100,,,,,,,,,,,,,,,
w10010080YS,B,JOL,65,,,,,,,,,,,,,,,
w10024584,B,JOL,100,,,,,,,,,,,,,,,
w10033288,B,JOL,34,,,,,,,,,,,,,,,
w10042962_jkc,B,JOL,40,,,,,,,,,,,,,,,
w10048478_tn,B,JOL,20,,,,,,,,,,,,,,,
w10049707_slh,B,JOL,100,,,,,,,,,,,,,,,
w10061353,B,JOL,80,,,,,,,,,,,,,,,
w10061432,B,JOL,10,,,,,,,,,,,,,,,
w218847JDM,B,JOL,30,,,,,,,,,,,,,,,
w922820,B,JOL,15,,,,,,,,,,,,,,,
W970517,B,JOL,90,,,,,,,,,,,,,,,
w10010080YS,S,JOL,95,,,,,,,,,,,,,,,
w10024584,S,JOL,100,,,,,,,,,,,,,,,
w10033288,S,JOL,20,,,,,,,,,,,,,,,
w10042962_jkc,S,JOL,99,,,,,,,,,,,,,,,
w10048478_tn,S,JOL,20,,,,,,,,,,,,,,,
w10049707_slh,S,JOL,100,,,,,,,,,,,,,,,
w10061353,S,JOL,100,,,,,,,,,,,,,,,
w10061432,S,JOL,90,,,,,,,,,,,,,,,
w218847JDM,S,JOL,80,,,,,,,,,,,,,,,
w922820,S,JOL,95,,,,,,,,,,,,,,,
W970517,S,JOL,100,,,,,,,,,,,,,,,
w10010080YS,S,JOL,98,,,,,,,,,,,,,,,
w10024584,S,JOL,100,,,,,,,,,,,,,,,
w10033288,S,JOL,50,,,,,,,,,,,,,,,
w10042962_jkc,S,JOL,99,,,,,,,,,,,,,,,
w10048478_tn,S,JOL,90,,,,,,,,,,,,,,,
w10049707_slh,S,JOL,100,,,,,,,,,,,,,,,
w10061353,S,JOL,90,,,,,,,,,,,,,,,
w10061432,S,JOL,100,,,,,,,,,,,,,,,
w218847JDM,S,JOL,80,,,,,,,,,,,,,,,
w922820,S,JOL,100,,,,,,,,,,,,,,,
W970517,S,JOL,100,,,,,,,,,,,,,,,
w10010080YS,F,JOL,91,,,,,,,,,,,,,,,
w10024584,F,JOL,0,,,,,,,,,,,,,,,
w10033288,F,JOL,50,,,,,,,,,,,,,,,
w10042962_jkc,F,JOL,75,,,,,,,,,,,,,,,
w10048478_tn,F,JOL,40,,,,,,,,,,,,,,,
w10049707_slh,F,JOL,15,,,,,,,,,,,,,,,
w10061353,F,JOL,50,,,,,,,,,,,,,,,
w10061432,F,JOL,30,,,,,,,,,,,,,,,
w218847JDM,F,JOL,60,,,,,,,,,,,,,,,
w922820,F,JOL,75,,,,,,,,,,,,,,,
W970517,F,JOL,10,,,,,,,,,,,,,,,
w10010080YS,S,JOL,87,,,,,,,,,,,,,,,
w10024584,S,JOL,100,,,,,,,,,,,,,,,
w10033288,S,JOL,40,,,,,,,,,,,,,,,
w10042962_jkc,S,JOL,30,,,,,,,,,,,,,,,
w10048478_tn,S,JOL,45,,,,,,,,,,,,,,,
w10049707_slh,S,JOL,15,,,,,,,,,,,,,,,
w10061353,S,JOL,70,,,,,,,,,,,,,,,
w10061432,S,JOL,30,,,,,,,,,,,,,,,
w218847JDM,S,JOL,60,,,,,,,,,,,,,,,
w922820,S,JOL,76,,,,,,,,,,,,,,,
W970517,S,JOL,50,,,,,,,,,,,,,,,
w10010080YS,F,JOL,90,,,,,,,,,,,,,,,
w10024584,F,JOL,100,,,,,,,,,,,,,,,
w10033288,F,JOL,40,,,,,,,,,,,,,,,
w10042962_jkc,F,JOL,60,,,,,,,,,,,,,,,
w10048478_tn,F,JOL,70,,,,,,,,,,,,,,,
w10049707_slh,F,JOL,40,,,,,,,,,,,,,,,
w10061353,F,JOL,90,,,,,,,,,,,,,,,
w10061432,F,JOL,0,,,,,,,,,,,,,,,
w218847JDM,F,JOL,60,,,,,,,,,,,,,,,
w922820,F,JOL,65,,,,,,,,,,,,,,,
W970517,F,JOL,80,,,,,,,,,,,,,,,
w10010080YS,B,JOL,97,,,,,,,,,,,,,,,
w10024584,B,JOL,100,,,,,,,,,,,,,,,
w10033288,B,JOL,20,,,,,,,,,,,,,,,
w10042962_jkc,B,JOL,40,,,,,,,,,,,,,,,
w10048478_tn,B,JOL,30,,,,,,,,,,,,,,,
w10049707_slh,B,JOL,20,,,,,,,,,,,,,,,
w10061353,B,JOL,50,,,,,,,,,,,,,,,
w10061432,B,JOL,40,,,,,,,,,,,,,,,
w218847JDM,B,JOL,50,,,,,,,,,,,,,,,
w922820,B,JOL,50,,,,,,,,,,,,,,,
W970517,B,JOL,50,,,,,,,,,,,,,,,
w10010080YS,U,JOL,2,,,,,,,,,,,,,,,
w10024584,U,JOL,0,,,,,,,,,,,,,,,
w10033288,U,JOL,10,,,,,,,,,,,,,,,
w10042962_jkc,U,JOL,1,,,,,,,,,,,,,,,
w10048478_tn,U,JOL,14,,,,,,,,,,,,,,,
w10049707_slh,U,JOL,0,,,,,,,,,,,,,,,
w10061353,U,JOL,20,,,,,,,,,,,,,,,
w10061432,U,JOL,0,,,,,,,,,,,,,,,
w218847JDM,U,JOL,60,,,,,,,,,,,,,,,
w922820,U,JOL,0,,,,,,,,,,,,,,,
W970517,U,JOL,10,,,,,,,,,,,,,,,
w10010080YS,F,JOL,2,,,,,,,,,,,,,,,
w10024584,F,JOL,0,,,,,,,,,,,,,,,
w10033288,F,JOL,20,,,,,,,,,,,,,,,
w10042962_jkc,F,JOL,90,,,,,,,,,,,,,,,
w10048478_tn,F,JOL,50,,,,,,,,,,,,,,,
w10049707_slh,F,JOL,40,,,,,,,,,,,,,,,
w10061353,F,JOL,30,,,,,,,,,,,,,,,
w10061432,F,JOL,20,,,,,,,,,,,,,,,
w218847JDM,F,JOL,60,,,,,,,,,,,,,,,
w922820,F,JOL,50,,,,,,,,,,,,,,,
W970517,F,JOL,100,,,,,,,,,,,,,,,
w10010080YS,S,JOL,95,,,,,,,,,,,,,,,
w10024584,S,JOL,100,,,,,,,,,,,,,,,
w10033288,S,JOL,20,,,,,,,,,,,,,,,
w10042962_jkc,S,JOL,100,,,,,,,,,,,,,,,
w10048478_tn,S,JOL,30,,,,,,,,,,,,,,,
w10049707_slh,S,JOL,100,,,,,,,,,,,,,,,
w10061353,S,JOL,100,,,,,,,,,,,,,,,
w10061432,S,JOL,98,,,,,,,,,,,,,,,
w218847JDM,S,JOL,70,,,,,,,,,,,,,,,
w922820,S,JOL,95,,,,,,,,,,,,,,,
W970517,S,JOL,100,,,,,,,,,,,,,,,
w10010080YS,B,JOL,64,,,,,,,,,,,,,,,
w10024584,B,JOL,100,,,,,,,,,,,,,,,
w10033288,B,JOL,30,,,,,,,,,,,,,,,
w10042962_jkc,B,JOL,95,,,,,,,,,,,,,,,
w10048478_tn,B,JOL,15,,,,,,,,,,,,,,,
w10049707_slh,B,JOL,100,,,,,,,,,,,,,,,
w10061353,B,JOL,60,,,,,,,,,,,,,,,
w10061432,B,JOL,100,,,,,,,,,,,,,,,
w218847JDM,B,JOL,70,,,,,,,,,,,,,,,
w922820,B,JOL,65,,,,,,,,,,,,,,,
W970517,B,JOL,100,,,,,,,,,,,,,,,
w10010080YS,F,JOL,98,,,,,,,,,,,,,,,
w10024584,F,JOL,100,,,,,,,,,,,,,,,
w10033288,F,JOL,95,,,,,,,,,,,,,,,
w10042962_jkc,F,JOL,100,,,,,,,,,,,,,,,
w10048478_tn,F,JOL,75,,,,,,,,,,,,,,,
w10049707_slh,F,JOL,100,,,,,,,,,,,,,,,
w10061353,F,JOL,100,,,,,,,,,,,,,,,
w10061432,F,JOL,90,,,,,,,,,,,,,,,
w218847JDM,F,JOL,90,,,,,,,,,,,,,,,
w922820,F,JOL,100,,,,,,,,,,,,,,,
W970517,F,JOL,100,,,,,,,,,,,,,,,
w10010080YS,B,JOL,76,,,,,,,,,,,,,,,
w10024584,B,JOL,100,,,,,,,,,,,,,,,
w10033288,B,JOL,10,,,,,,,,,,,,,,,
w10042962_jkc,B,JOL,90,,,,,,,,,,,,,,,
w10048478_tn,B,JOL,20,,,,,,,,,,,,,,,
w10049707_slh,B,JOL,90,,,,,,,,,,,,,,,
w10061353,B,JOL,50,,,,,,,,,,,,,,,
w10061432,B,JOL,30,,,,,,,,,,,,,,,
w218847JDM,B,JOL,60,,,,,,,,,,,,,,,
w922820,B,JOL,85,,,,,,,,,,,,,,,
W970517,B,JOL,90,,,,,,,,,,,,,,,
w10010080YS,U,JOL,30,,,,,,,,,,,,,,,
w10024584,U,JOL,0,,,,,,,,,,,,,,,
w10033288,U,JOL,10,,,,,,,,,,,,,,,
w10042962_jkc,U,JOL,0,,,,,,,,,,,,,,,
w10048478_tn,U,JOL,54,,,,,,,,,,,,,,,
w10049707_slh,U,JOL,0,,,,,,,,,,,,,,,
w10061353,U,JOL,20,,,,,,,,,,,,,,,
w10061432,U,JOL,0,,,,,,,,,,,,,,,
w218847JDM,U,JOL,30,,,,,,,,,,,,,,,
w922820,U,JOL,0,,,,,,,,,,,,,,,
W970517,U,JOL,10,,,,,,,,,,,,,,,
w10010080YS,U,JOL,6,,,,,,,,,,,,,,,
w10024584,U,JOL,0,,,,,,,,,,,,,,,
w10033288,U,JOL,20,,,,,,,,,,,,,,,
w10042962_jkc,U,JOL,10,,,,,,,,,,,,,,,
w10048478_tn,U,JOL,35,,,,,,,,,,,,,,,
w10049707_slh,U,JOL,10,,,,,,,,,,,,,,,
w10061353,U,JOL,20,,,,,,,,,,,,,,,
w10061432,U,JOL,5,,,,,,,,,,,,,,,
w218847JDM,U,JOL,30,,,,,,,,,,,,,,,
w922820,U,JOL,0,,,,,,,,,,,,,,,
W970517,U,JOL,10,,,,,,,,,,,,,,,
w10010080YS,F,JOL,20,,,,,,,,,,,,,,,
w10024584,F,JOL,100,,,,,,,,,,,,,,,
w10033288,F,JOL,10,,,,,,,,,,,,,,,
w10042962_jkc,F,JOL,90,,,,,,,,,,,,,,,
w10048478_tn,F,JOL,90,,,,,,,,,,,,,,,
w10049707_slh,F,JOL,60,,,,,,,,,,,,,,,
w10061353,F,JOL,80,,,,,,,,,,,,,,,
w10061432,F,JOL,100,,,,,,,,,,,,,,,
w218847JDM,F,JOL,60,,,,,,,,,,,,,,,
w922820,F,JOL,85,,,,,,,,,,,,,,,
W970517,F,JOL,100,,,,,,,,,,,,,,,
w10010080YS,U,JOL,0,,,,,,,,,,,,,,,
w10024584,U,JOL,20,,,,,,,,,,,,,,,
w10033288,U,JOL,10,,,,,,,,,,,,,,,
w10042962_jkc,U,JOL,2,,,,,,,,,,,,,,,
w10048478_tn,U,JOL,25,,,,,,,,,,,,,,,
w10049707_slh,U,JOL,0,,,,,,,,,,,,,,,
w10061353,U,JOL,0,,,,,,,,,,,,,,,
w10061432,U,JOL,0,,,,,,,,,,,,,,,
w218847JDM,U,JOL,30,,,,,,,,,,,,,,,
w922820,U,JOL,0,,,,,,,,,,,,,,,
W970517,U,JOL,10,,,,,,,,,,,,,,,
w10010080YS,F,JOL,96,,,,,,,,,,,,,,,
w10024584,F,JOL,100,,,,,,,,,,,,,,,
w10033288,F,JOL,10,,,,,,,,,,,,,,,
w10042962_jkc,F,JOL,100,,,,,,,,,,,,,,,
w10048478_tn,F,JOL,57,,,,,,,,,,,,,,,
w10049707_slh,F,JOL,100,,,,,,,,,,,,,,,
w10061353,F,JOL,80,,,,,,,,,,,,,,,
w10061432,F,JOL,40,,,,,,,,,,,,,,,
w218847JDM,F,JOL,70,,,,,,,,,,,,,,,
w922820,F,JOL,55,,,,,,,,,,,,,,,
W970517,F,JOL,100,,,,,,,,,,,,,,,
w10010080YS,U,JOL,2,,,,,,,,,,,,,,,
w10024584,U,JOL,0,,,,,,,,,,,,,,,
w10033288,U,JOL,20,,,,,,,,,,,,,,,
w10042962_jkc,U,JOL,40,,,,,,,,,,,,,,,
w10048478_tn,U,JOL,40,,,,,,,,,,,,,,,
w10049707_slh,U,JOL,0,,,,,,,,,,,,,,,
w10061353,U,JOL,30,,,,,,,,,,,,,,,
w10061432,U,JOL,0,,,,,,,,,,,,,,,
w218847JDM,U,JOL,40,,,,,,,,,,,,,,,
w922820,U,JOL,0,,,,,,,,,,,,,,,
W970517,U,JOL,10,,,,,,,,,,,,,,,
w10010080YS,F,JOL,50,,,,,,,,,,,,,,,
w10024584,F,JOL,100,,,,,,,,,,,,,,,
w10033288,F,JOL,10,,,,,,,,,,,,,,,
w10042962_jkc,F,JOL,90,,,,,,,,,,,,,,,
w10048478_tn,F,JOL,30,,,,,,,,,,,,,,,
w10049707_slh,F,JOL,100,,,,,,,,,,,,,,,
w10061353,F,JOL,80,,,,,,,,,,,,,,,
w10061432,F,JOL,30,,,,,,,,,,,,,,,
w218847JDM,F,JOL,60,,,,,,,,,,,,,,,
w922820,F,JOL,85,,,,,,,,,,,,,,,
W970517,F,JOL,100,,,,,,,,,,,,,,,
w10010080YS,B,JOL,96,,,,,,,,,,,,,,,
w10024584,B,JOL,100,,,,,,,,,,,,,,,
w10033288,B,JOL,20,,,,,,,,,,,,,,,
w10042962_jkc,B,JOL,35,,,,,,,,,,,,,,,
w10048478_tn,B,JOL,23,,,,,,,,,,,,,,,
w10049707_slh,B,JOL,100,,,,,,,,,,,,,,,
w10061353,B,JOL,80,,,,,,,,,,,,,,,
w10061432,B,JOL,99,,,,,,,,,,,,,,,
w218847JDM,B,JOL,70,,,,,,,,,,,,,,,
w922820,B,JOL,85,,,,,,,,,,,,,,,
W970517,B,JOL,100,,,,,,,,,,,,,,,
w10010080YS,S,JOL,91,,,,,,,,,,,,,,,
w10024584,S,JOL,0,,,,,,,,,,,,,,,
w10033288,S,JOL,80,,,,,,,,,,,,,,,
w10042962_jkc,S,JOL,90,,,,,,,,,,,,,,,
w10048478_tn,S,JOL,25,,,,,,,,,,,,,,,
w10049707_slh,S,JOL,100,,,,,,,,,,,,,,,
w10061353,S,JOL,80,,,,,,,,,,,,,,,
w10061432,S,JOL,13,,,,,,,,,,,,,,,
w218847JDM,S,JOL,70,,,,,,,,,,,,,,,
w922820,S,JOL,85,,,,,,,,,,,,,,,
W970517,S,JOL,100,,,,,,,,,,,,,,,
w10010080YS,S,JOL,98,,,,,,,,,,,,,,,
w10024584,S,JOL,100,,,,,,,,,,,,,,,
w10033288,S,JOL,50,,,,,,,,,,,,,,,
w10042962_jkc,S,JOL,75,,,,,,,,,,,,,,,
w10048478_tn,S,JOL,45,,,,,,,,,,,,,,,
w10049707_slh,S,JOL,100,,,,,,,,,,,,,,,
w10061353,S,JOL,70,,,,,,,,,,,,,,,
w10061432,S,JOL,50,,,,,,,,,,,,,,,
w218847JDM,S,JOL,60,,,,,,,,,,,,,,,
w922820,S,JOL,60,,,,,,,,,,,,,,,
W970517,S,JOL,100,,,,,,,,,,,,,,,
w10010080YS,F,JOL,60,,,,,,,,,,,,,,,
w10024584,F,JOL,0,,,,,,,,,,,,,,,
w10033288,F,JOL,20,,,,,,,,,,,,,,,
w10042962_jkc,F,JOL,90,,,,,,,,,,,,,,,
w10048478_tn,F,JOL,100,,,,,,,,,,,,,,,
w10049707_slh,F,JOL,50,,,,,,,,,,,,,,,
w10061353,F,JOL,40,,,,,,,,,,,,,,,
w10061432,F,JOL,40,,,,,,,,,,,,,,,
w218847JDM,F,JOL,80,,,,,,,,,,,,,,,
w922820,F,JOL,60,,,,,,,,,,,,,,,
W970517,F,JOL,50,,,,,,,,,,,,,,,
w10010080YS,B,JOL,41,,,,,,,,,,,,,,,
w10024584,B,JOL,100,,,,,,,,,,,,,,,
w10033288,B,JOL,10,,,,,,,,,,,,,,,
w10042962_jkc,B,JOL,50,,,,,,,,,,,,,,,
w10048478_tn,B,JOL,50,,,,,,,,,,,,,,,
w10049707_slh,B,JOL,10,,,,,,,,,,,,,,,
w10061353,B,JOL,100,,,,,,,,,,,,,,,
w10061432,B,JOL,100,,,,,,,,,,,,,,,
w218847JDM,B,JOL,60,,,,,,,,,,,,,,,
w922820,B,JOL,45,,,,,,,,,,,,,,,
W970517,B,JOL,100,,,,,,,,,,,,,,,
w10010080YS,U,JOL,30,,,,,,,,,,,,,,,
w10024584,U,JOL,0,,,,,,,,,,,,,,,
w10033288,U,JOL,40,,,,,,,,,,,,,,,
w10042962_jkc,U,JOL,2,,,,,,,,,,,,,,,
w10048478_tn,U,JOL,30,,,,,,,,,,,,,,,
w10049707_slh,U,JOL,0,,,,,,,,,,,,,,,
w10061353,U,JOL,60,,,,,,,,,,,,,,,
w10061432,U,JOL,5,,,,,,,,,,,,,,,
w218847JDM,U,JOL,30,,,,,,,,,,,,,,,
w922820,U,JOL,0,,,,,,,,,,,,,,,
W970517,U,JOL,30,,,,,,,,,,,,,,,
w10010080YS,B,JOL,60,,,,,,,,,,,,,,,
w10024584,B,JOL,0,,,,,,,,,,,,,,,
w10033288,B,JOL,30,,,,,,,,,,,,,,,
w10042962_jkc,B,JOL,50,,,,,,,,,,,,,,,
w10048478_tn,B,JOL,45,,,,,,,,,,,,,,,
w10049707_slh,B,JOL,90,,,,,,,,,,,,,,,
w10061353,B,JOL,50,,,,,,,,,,,,,,,
w10061432,B,JOL,30,,,,,,,,,,,,,,,
w218847JDM,B,JOL,50,,,,,,,,,,,,,,,
w922820,B,JOL,0,,,,,,,,,,,,,,,
W970517,B,JOL,20,,,,,,,,,,,,,,,
w10010080YS,F,JOL,100,,,,,,,,,,,,,,,
w10024584,F,JOL,100,,,,,,,,,,,,,,,
w10033288,F,JOL,30,,,,,,,,,,,,,,,
w10042962_jkc,F,JOL,95,,,,,,,,,,,,,,,
w10048478_tn,F,JOL,20,,,,,,,,,,,,,,,
w10049707_slh,F,JOL,70,,,,,,,,,,,,,,,
w10061353,F,JOL,90,,,,,,,,,,,,,,,
w10061432,F,JOL,90,,,,,,,,,,,,,,,
w218847JDM,F,JOL,70,,,,,,,,,,,,,,,
w922820,F,JOL,75,,,,,,,,,,,,,,,
W970517,F,JOL,100,,,,,,,,,,,,,,,
w10010080YS,B,JOL,71,,,,,,,,,,,,,,,
w10024584,B,JOL,100,,,,,,,,,,,,,,,
w10033288,B,JOL,12,,,,,,,,,,,,,,,
w10042962_jkc,B,JOL,90,,,,,,,,,,,,,,,
w10048478_tn,B,JOL,30,,,,,,,,,,,,,,,
w10049707_slh,B,JOL,100,,,,,,,,,,,,,,,
w10061353,B,JOL,70,,,,,,,,,,,,,,,
w10061432,B,JOL,90,,,,,,,,,,,,,,,
w218847JDM,B,JOL,70,,,,,,,,,,,,,,,
w922820,B,JOL,75,,,,,,,,,,,,,,,
W970517,B,JOL,75,,,,,,,,,,,,,,,
w10010080YS,S,JOL,90,,,,,,,,,,,,,,,
w10024584,S,JOL,0,,,,,,,,,,,,,,,
w10033288,S,JOL,40,,,,,,,,,,,,,,,
w10042962_jkc,S,JOL,60,,,,,,,,,,,,,,,
w10048478_tn,S,JOL,80,,,,,,,,,,,,,,,
w10049707_slh,S,JOL,100,,,,,,,,,,,,,,,
w10061353,S,JOL,90,,,,,,,,,,,,,,,
w10061432,S,JOL,40,,,,,,,,,,,,,,,
w218847JDM,S,JOL,80,,,,,,,,,,,,,,,
w922820,S,JOL,45,,,,,,,,,,,,,,,
W970517,S,JOL,30,,,,,,,,,,,,,,,
w10010080YS,U,JOL,5,,,,,,,,,,,,,,,
w10024584,U,JOL,0,,,,,,,,,,,,,,,
w10033288,U,JOL,45,,,,,,,,,,,,,,,
w10042962_jkc,U,JOL,30,,,,,,,,,,,,,,,
w10048478_tn,U,JOL,50,,,,,,,,,,,,,,,
w10049707_slh,U,JOL,0,,,,,,,,,,,,,,,
w10061353,U,JOL,30,,,,,,,,,,,,,,,
w10061432,U,JOL,10,,,,,,,,,,,,,,,
w218847JDM,U,JOL,30,,,,,,,,,,,,,,,
w922820,U,JOL,0,,,,,,,,,,,,,,,
W970517,U,JOL,5,,,,,,,,,,,,,,,
w10010080YS,B,JOL,87,,,,,,,,,,,,,,,
w10024584,B,JOL,100,,,,,,,,,,,,,,,
w10033288,B,JOL,20,,,,,,,,,,,,,,,
w10042962_jkc,B,JOL,80,,,,,,,,,,,,,,,
w10048478_tn,B,JOL,50,,,,,,,,,,,,,,,
w10049707_slh,B,JOL,100,,,,,,,,,,,,,,,
w10061353,B,JOL,70,,,,,,,,,,,,,,,
w10061432,B,JOL,100,,,,,,,,,,,,,,,
w218847JDM,B,JOL,40,,,,,,,,,,,,,,,
w922820,B,JOL,85,,,,,,,,,,,,,,,
W970517,B,JOL,75,,,,,,,,,,,,,,,
w10010080YS,F,JOL,80,,,,,,,,,,,,,,,
w10024584,F,JOL,20,,,,,,,,,,,,,,,
w10033288,F,JOL,20,,,,,,,,,,,,,,,
w10042962_jkc,F,JOL,80,,,,,,,,,,,,,,,
w10048478_tn,F,JOL,30,,,,,,,,,,,,,,,
w10049707_slh,F,JOL,100,,,,,,,,,,,,,,,
w10061353,F,JOL,90,,,,,,,,,,,,,,,
w10061432,F,JOL,30,,,,,,,,,,,,,,,
w218847JDM,F,JOL,60,,,,,,,,,,,,,,,
